P(topic 1),P(topic 2),P(topic 3)
0.05132832,0.89739364,0.05127805
0.08247931,0.83505416,0.08246649
0.058602814,0.88322985,0.05816734
0.056457005,0.887062,0.056480985
0.08309658,0.3157986,0.6011048
0.049983457,0.90009147,0.049925145
0.050352387,0.8993027,0.0503449
0.056337826,0.88736147,0.056300767
0.064820364,0.8703379,0.06484171
0.09418402,0.8116328,0.09418318
0.10052443,0.7989508,0.10052478
0.09153239,0.81695306,0.09151456
0.076723106,0.8467375,0.07653938
0.051370442,0.8972758,0.051353738
0.0773579,0.84531,0.077332124
0.05063898,0.8987573,0.050603665
0.09925262,0.8014943,0.09925309
0.10389759,0.7922701,0.10383229
0.10458244,0.79083556,0.104582
0.28940088,0.6584253,0.052173823
0.09666792,0.80669785,0.09663418
0.11377269,0.77248955,0.11373774
0.07496252,0.8500786,0.074958906
0.10116169,0.7976791,0.1011592
0.05328617,0.8934598,0.053254016
0.06550368,0.86903113,0.06546515
0.062461924,0.87508154,0.06245659
0.0670489,0.8659969,0.06695411
0.11291818,0.7742967,0.11278509
0.088841654,0.8223134,0.08884495
0.05340972,0.8931801,0.053410187
0.058680058,0.88266075,0.058659192
0.08072929,0.83884937,0.0804214
0.092735924,0.8145386,0.09272547
0.09337349,0.8132656,0.093360886
0.060460098,0.8791844,0.06035542
0.05112849,0.89794755,0.05092398
0.0509912,0.89803064,0.050978117
0.087564744,0.8248457,0.08758955
0.10664169,0.7867183,0.106639974
0.053879607,0.89238316,0.05373727
0.053327262,0.8933825,0.05329024
0.083416805,0.8331664,0.083416775
0.31832385,0.5724708,0.1092054
0.08465203,0.8306936,0.08465435
0.11591153,0.7681774,0.11591105
0.05189889,0.89612794,0.051973153
0.05853613,0.88292783,0.058536034
0.08455166,0.83080333,0.08464498
0.10656709,0.78687185,0.106561065
0.06049576,0.87900907,0.060495146
0.054729424,0.8906653,0.054605346
0.051813267,0.89637685,0.051809907
0.09365405,0.81269264,0.09365332
